Date,Forecast,Lower_95,Upper_95
2018-01-01,46537.4464617212,17287.22856407476,75787.66435936764
2018-02-01,41109.30725475925,10940.852458025285,71277.76205149322
2018-03-01,73653.45402131532,43214.62559632403,104092.2824463066
2018-04-01,58344.4287217135,27700.670878488287,88988.18656493872
2018-05-01,68448.39268806748,37609.869857772646,99286.91551836232
2018-06-01,63658.19558215244,32627.4234626468,94688.96770165808
2018-07-01,61068.502224121126,29846.834178408444,92290.1702698338
2018-08-01,64389.04140138885,32977.63376447682,95800.44903830088
2018-09-01,98270.09726711673,66670.05510782209,129870.13942641136
2018-10-01,81677.06011424157,49889.459212937436,113464.6610155457
2018-11-01,112907.8380640207,80933.72805068271,144881.9480773587
2018-12-01,108439.70091705899,76280.10543674638,140599.2963973716
